job_title,company_name,location,summary,salary
Data Scientist,Triplebyte,Remote,You’ll report directly to Triplebytes' Head of Machine Learning and will work alongside a team of 6-8 machine learning engineers and data scientists.,"$150,000 - $225,000 a year"
"Data Scientist, Medical Diagnostics",Specific Diagnostics,"Mountain View, CA 94043","Used for bloodstream infection Specific’s solution provides results 2 days sooner than existing methods, saving patients suffering from drug-resistant infection…",Not Posted
Data Scientist,ClearOne Advantage,"Baltimore, MD 21224 (Canton Industrial Area area)","We want to see a passion for machine-learning and research.
Build predictive models and machine-learning algorithms.
Combine models through ensemble modeling.","$70,000 - $80,000 a year"
"Analyst II, Data Science",Liberty Mutual Insurance,"Boston, MA 02101","The position requires a Master’s degree, or foreign equivalent, in Statistics, Mathematics, Economics, or another scientific field plus one (1) year of…","$89,700 - $148,800 a year"
Data Scientist/Machine Learning Engineer,Mobile Insights,Anywhere,"Develop machine learning applications according to requirements.
Run machine learning tests and experiments.
Familiarity with machine learning frameworks (like…","$85,000 - $115,000 a year"
Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Anywhere,"0-3 years in data science.
In these positions you will be asked to manipulate and utilize data in order to inform key business decisions and model various…",Not Posted
Data Scientist,Conrelv Solutions Inc,Anywhere,"They will be creating models to use machine learning to identify that customer, then using that info to do outreach to customer by contact and marketing towards…",Not Posted
Data Scientist Analyst,LOCKHEED MARTIN CORPORATION,Anywhere,"Work on datasets with applied statistics and machine learning algorithms; Use exploratory data analysis techniques to identify meaningful relationships,…",Not Posted
Data Scientist,TISAA,Anywhere,"Content Data Scientist This is true data scientist who will be working on content efficiency modelling, taste personas, content acquisition, forecast, Avod…",Not Posted
Data Scientist - 68924BR,AETNA,Anywhere,"Demonstrates proficiency in several areas of data modeling, machine learning algorithms, statistical analysis, data engineering and data visualization.",Not Posted
Data Scientist,"Foundation Medicine, Inc.",Anywhere,"Your focus will be on clinical use cases, such as biomarker-based outcomes analyses, examining correlates of genomics and clinical outcomes, clinical utility of…",Not Posted
Content Data Scientist,Buxton,Anywhere,"Content Data Scientist – This is true data scientist who will be working on content efficiency modelling, taste personas, content acquisition, forecast, Avod…",Not Posted
Jr. Data Scientist,Numero Data LLC,Anywhere,"Ability to break down and understand complex business problems, define a solution and implement it using advanced quantitative methods.","$70,000 - $85,000 a year"
Junior Data Scientist,1-800-Flowers,Anywhere,"As Junior Data Scientist, you will be responsible for collecting, cleaning, and extracting data from a variety of systems at 1-800-flowers with intention to run…",Not Posted
Principal Data Scientist,Intuit,"Mountain View, CA 94041",Intuit’s Innovation and Advanced Technology Group is hiring a Data Scientist to focus on Security and Anti-fraud.,Not Posted
"Data Scientist, Office of Data Science",Liberty Mutual Insurance,"Boston, MA 02101","Demonstrated experience in deep learning, computer vision, natural language processing, and/or interpretable machine learning.","$93,400 - $134,100 a year"
