videoId,channelId,title,description,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,companyId
h5yJ-_bbiM8,UCXubLFOt4iiX2_0tYQD8gRA,Penn State Health - Careers,"At Penn State Health, we work to provide the best, personal care and support for every patient – for the health they need to live the life they want, the way they ...",994,6,0,0,0,Google
Pabq5ElJbx4,UCUngw5TivNYk845EpJQ1Mfg,Your Career in Healthcare Starts at Penn Commercial,"Dr. John D. Six, M.D., Vice President of Medical Affairs at Washington Health System, discusses the training and education students receive in the medical ...",994,6,0,0,0,Google
pL-Ra2hoIsw,UCb_JeH-0SzKbKOqSe0DZnmA,Health Information Degrees at Penn College,"https://www.pct.edu/academics/hs/healthIT Health information is the backbone of the nation's health care system, offering diverse rewarding careers. The Bureau ...",994,6,0,0,0,Google
zouPcloHb2w,UC36Nlm8ikeZ4tDRx__BjJnA,Penn Medicine&#39;s Global Nurse Program,"In response to worldwide nursing concerns, the Nursing Department of the Hospital of the University of Pennsylvania (HUP) launched its Global Nurse Program ...",994,6,0,0,0,Google
NlpK-1b5Kvw,UCSC8V1ez4zt3rviyPWzk9Sg,Immunology Graduate Program | Cincinnati Children&#39;s,The study of immunology is critical to our survival. It's essential to understanding how the body protects us and what happens when things go haywire.,994,6,0,0,0,Google
1iJ6ul7BTfI,UCI4iLCMa5wYZ6fMNzQyA1Ww,"IISE Annual 2019 - Keynote speaker Lt. Gen. Stayce D. Harris, U.S. Air Force (Ret.)","This video from the IISE Annual Conference & Expo 2019 features clips of the keynote presentation delivered by Lt. Gen. Stayce D. Harris, the former inspector ...",994,6,0,0,0,Google
RQCPluHWhTM,UCMFaqGAxfO5zeSnWGSMNXMA,Interview BillLynch,Retired Major General William B. Lynch was the adjutant general of Pennsylvania. In this State cabinet level position General Lynch was headquartered at Fort ...,994,6,0,0,0,Slalom Consulting
jysikObEmpM,UCDs6BBujdBWokQqC1w_IjwQ,Success Story – HR Software – Sussex Oakleaf,"Learn how Sussex Oakleaf are using additional modules within their Access HR software to manage training & personal development needs, plus how they're ...",994,6,0,0,0,Slalom Consulting
Pzv48p0RVDE,UCf_-9tWk4cUAH92kaPQl8nQ,Staff at the heart of 20 successful years for E&amp;C Joinery -- as seen on Kochie&#39;s Business Builders,"Kochies Business Builders is in Pakenham, Victoria, for episode 10 of the series. We visit E&C Joinery owner, Erick Joosten who runs the business with his wife ...",994,6,0,0,0,Slalom Consulting
gJHyB7F91Kk,UCgVZ0mrM3liHNhRYC5Mchgg,Teen faces aggravated battery charges after fight at Coconut Creek High School,Video captured Thursday afternoon at Coconut Creek High School shows two 15-year-old students in a fistfight.,994,6,0,0,0,Slalom Consulting
